Original,Character,Dialogue,Wordcount
Trey:Cater! Deuce!,Trey, Cater! Deuce!,1
"Deuce:It's nice to see you, Trey.",Deuce," It's nice to see you, Trey.",5
Cater:We came to check on Vivi and the others. We didn't expect to see you here!,Cater, We came to check on Vivi and the others. We didn't expect to see you here!,15
Trey:I am relieved to see you both in good health. Where are the others?,Trey, I am relieved to see you both in good health. Where are the others?,13
Cater:Waiting over there. You had better go say hi!,Cater, Waiting over there. You had better go say hi!,8
Trey:I will.,Trey, I will.,1
Vivi:I'm so glad you can see your classmates again!,Vivi, I'm so glad you can see your classmates again!,8
"Mog:And we found my kupo nuts and a new friend! Today was a great day, kupo!",Mog," And we found my kupo nuts and a new friend! Today was a great day, kupo!",15
Trey:Take that!,Trey, Take that!,1
Barret:Haha! Not bad at all!,Barret, Haha! Not bad at all!,4
"Trey:Why, thank you.",Trey," Why, thank you.",2
"Ace:It looks like your shots are as dead-on as ever, Trey.",Ace," It looks like your shots are as dead-on as ever, Trey.",10
Cater:And his stories as long as ever.,Cater, And his stories as long as ever.,6
"Machina:...It's been a while, Trey.",Machina," ...It's been a while, Trey.",4
Trey:What a surprise it is to see you in your human form...,Trey, What a surprise it is to see you in your human form...,11
Wakka:What's that mean?,Wakka, What's that mean?,2
"Machina:...I see. So you have all your memories, then.",Machina," ...I see. So you have all your memories, then.",8
"Machina:Trey, I owe you an apology.",Machina," Trey, I owe you an apology.",5
Trey:Whatever for...?,Trey, Whatever for...?,1
Trey:...I see. So that's what transpired...,Trey, ...I see. So that's what transpired...,5
Machina:I won't ask for your forgiveness. I just...had to tell you the truth.,Machina, I won't ask for your forgiveness. I just...had to tell you the truth.,12
"Trey:Thank you for telling me, Machina. From now on, let us fight side-by-side.",Trey," Thank you for telling me, Machina. From now on, let us fight side-by-side.",12
Trey:Looking back at the past changes nothing. What matters is how we choose to live our lives from here on out.,Trey, Looking back at the past changes nothing. What matters is how we choose to live our lives from here on out.,20
"Trey:It seems like we cannot escape our fate of having to fight, but...",Trey," It seems like we cannot escape our fate of having to fight, but...",12
Trey:I am happy that I can do so with everyone by my side.,Trey, I am happy that I can do so with everyone by my side.,12
Machina:...Thank you.,Machina, ...Thank you.,1
Cater:Hehe. That went well!,Cater, Hehe. That went well!,3
Ace:I knew Trey would understand right away.,Ace, I knew Trey would understand right away.,6
"Barret:Lucky for us, he's got both brains and a heart!",Barret," Lucky for us, he's got both brains and a heart!",9
"Wakka:And brawn, yeah! That last battle was somethin' else.",Wakka," And brawn, yeah! That last battle was somethin' else.",8
"Trey:By the way, Machina, I have something to ask you.",Trey," By the way, Machina, I have something to ask you.",9
Machina:What's that?,Machina, What's that?,1
Trey:What happened to Orience after we died?,Trey, What happened to Orience after we died?,6
"Machina:...We started rebuilding. It wasn't easy, but everyone's doing the best they can.",Machina," ...We started rebuilding. It wasn't easy, but everyone's doing the best they can.",12
"Trey:You were always a responsible one, Machina.",Trey," You were always a responsible one, Machina.",6
"Trey:How would you even begin to rebuild such a broken Orience, though?",Trey," How would you even begin to rebuild such a broken Orience, though?",11
"Trey:Please, I'd like to hear more about your endeavors.",Trey," Please, I'd like to hear more about your endeavors.",8
"Machina:...Heh, it's like old times.",Machina," ...Heh, it's like old times.",4
"Machina:I want to hear your opinion, too, Trey. I can tell you all about it on the airship.",Machina," I want to hear your opinion, too, Trey. I can tell you all about it on the airship.",17
Trey:I insist!,Trey, I insist!,1
Cater:I'm going to be old before this conversation is over...,Cater, I'm going to be old before this conversation is over...,9
Ace:What's the harm? Machina seems happy.,Ace, What's the harm? Machina seems happy.,5
"Cater:Yeah, I guess so... Hehe.",Cater," Yeah, I guess so... Hehe.",4
"Cinque:Something on your noodle, Trey? You don't look so okey dokey.",Cinque," Something on your noodle, Trey? You don't look so okey dokey.",10
Eight:You looked totally out of it.,Eight, You looked totally out of it.,5
Trey:Allow me to explain...,Trey, Allow me to explain...,3
Trey:...I see. So you have a grandfather?,Trey, ...I see. So you have a grandfather?,6
"Relm:Yeah! He's grumpy, smelly, and slow, but I've never seen anyone better at magic!",Relm," Yeah! He's grumpy, smelly, and slow, but I've never seen anyone better at magic!",13
Trey:Huh? A man of his age can use magic?,Trey, Huh? A man of his age can use magic?,8
"Trey:Well, I suppose I've heard of stranger things.",Trey," Well, I suppose I've heard of stranger things.",7
Relm:What does age have to do with it?,Relm, What does age have to do with it?,7
"Trey:Quite a bit! In my world, only the young could wield magic.",Trey," Quite a bit! In my world, only the young could wield magic.",11
"Trey:Please, when you have the time, tell me more about the machinations of magic in your world.",Trey," Please, when you have the time, tell me more about the machinations of magic in your world.",16
Trey:And she wasn't the only one I spoke with...,Trey, And she wasn't the only one I spoke with...,8
Eiko:...I used to live with moogles!,Eiko, ...I used to live with moogles!,5
Eiko:With Mocha and Chimomo. And Momatose and Morrison! No one could ask for a better family!,Eiko, With Mocha and Chimomo. And Momatose and Morrison! No one could ask for a better family!,15
"Trey:All of those moogles, just for you?",Trey," All of those moogles, just for you?",6
Trey:I see... You must be from a war-torn world. You have my sympathies.,Trey, I see... You must be from a war-torn world. You have my sympathies.,12
"Eiko:""War-torn""? What's that?",Eiko," ""War-torn""? What's that?",2
"Trey:Well, if you have that many moogles to report on the battlefield for you, there must be fighting around every corner...",Trey," Well, if you have that many moogles to report on the battlefield for you, there must be fighting around every corner...",20
Eiko:You aren't making any sense!,Eiko, You aren't making any sense!,4
"Eiko:We never fight! Mostly we nap, go fishing, or cook. Ah, I miss those relaxing days with my moogles.",Eiko," We never fight! Mostly we nap, go fishing, or cook. Ah, I miss those relaxing days with my moogles.",18
"Trey:I've never heard ""moogles"" and ""relaxing"" in the same sentence before...",Trey," I've never heard ""moogles"" and ""relaxing"" in the same sentence before...",10
Trey:And furthermore...,Trey, And furthermore...,1
"Trey:How does your weapon work, Squall? I've never seen anything like it before.",Trey," How does your weapon work, Squall? I've never seen anything like it before.",12
Squall:(Do I really have to talk to this guy?),Squall, (Do I really have to talk to this guy?),8
Zell:He pulls the trigger right as he brings down the sword and BAM! A bullet shoots out and the blade starts vibrating like crazy.,Zell, He pulls the trigger right as he brings down the sword and BAM! A bullet shoots out and the blade starts vibrating like crazy.,23
Zell:It cuts through steel like butter! There's not much that can stand against a gunblade at full strength.,Zell, It cuts through steel like butter! There's not much that can stand against a gunblade at full strength.,17
"Squall:Thanks for explaining, Zell.",Squall," Thanks for explaining, Zell.",3
Trey:That's...the most moving thing I've heard today...,Trey, That's...the most moving thing I've heard today...,6
Trey:Your explanation. It was so succinct. So powerful.,Trey, Your explanation. It was so succinct. So powerful.,7
